time,flow
2017-09-07 00:00,0.066
2017-09-08 00:00,0.066
2017-09-09 00:00,0.059
2017-09-10 00:00,0.08
2017-09-11 00:00,0.106
2017-09-12 00:00,0.077
2017-09-13 00:00,0.142
2017-09-14 00:00,0.12
2017-09-15 00:00,0.089
2017-09-16 00:00,0.076
2017-09-17 00:00,0.068
2017-09-18 00:00,0.065
2017-09-19 00:00,0.061
2017-09-20 00:00,0.064
2017-09-21 00:00,0.074
2017-09-22 00:00,0.067
2017-09-23 00:00,0.064
2017-09-24 00:00,0.093
2017-09-25 00:00,0.297
2017-09-26 00:00,0.133
2017-09-27 00:00,0.162
2017-09-28 00:00,0.199
2017-09-29 00:00,0.131
2017-09-30 00:00,0.106
2017-10-01 00:00,0.187
2017-10-02 00:00,0.254
2017-10-03 00:00,0.135
2017-10-04 00:00,0.119
2017-10-05 00:00,0.111
2017-10-06 00:00,0.106
2017-10-07 00:00,0.101
2017-10-08 00:00,0.096
2017-10-09 00:00,0.108
2017-10-10 00:00,0.12
2017-10-11 00:00,0.178
2017-10-12 00:00,0.155
2017-10-13 00:00,0.336
2017-10-14 00:00,0.178
2017-10-15 00:00,0.139
2017-10-16 00:00,0.176
2017-10-17 00:00,0.177
2017-10-18 00:00,0.139
2017-10-19 00:00,0.19
2017-10-20 00:00,0.219
2017-10-21 00:00,0.227
2017-10-22 00:00,0.16
2017-10-23 00:00,0.143
2017-10-24 00:00,0.148
2017-10-25 00:00,0.132
2017-10-26 00:00,0.118
2017-10-27 00:00,0.11
2017-10-28 00:00,0.106
2017-10-29 00:00,0.097
2017-10-30 00:00,0.096
2017-10-31 00:00,0.096
2017-11-01 00:00,0.1
2017-11-02 00:00,0.095
2017-11-03 00:00,0.093
2017-11-04 00:00,0.092
2017-11-05 00:00,0.087
2017-11-06 00:00,0.083
2017-11-07 00:00,0.083
2017-11-08 00:00,0.087
2017-11-09 00:00,0.093
2017-11-10 00:00,0.09
2017-11-11 00:00,0.086
2017-11-12 00:00,0.08
2017-11-13 00:00,0.079
2017-11-14 00:00,0.077
2017-11-15 00:00,0.075
2017-11-16 00:00,0.075
2017-11-17 00:00,0.073
2017-11-18 00:00,0.072
2017-11-19 00:00,0.077
2017-11-20 00:00,0.131
2017-11-21 00:00,0.222
2017-11-22 00:00,0.394
2017-11-23 00:00,0.31
2017-11-24 00:00,0.169
2017-11-25 00:00,0.132
2017-11-26 00:00,0.123
2017-11-27 00:00,0.126
2017-11-28 00:00,0.111
2017-11-29 00:00,0.101
2017-11-30 00:00,0.092
2017-12-01 00:00,0.086
2017-12-02 00:00,0.083
