Date,PHY_cyno
2016-09-28 00:00:00,7.49842E-09
2016-09-29 00:00:00,7.40856E-09
2016-09-30 00:00:00,7.31869E-09
2016-10-01 00:00:00,7.22882E-09
2016-10-02 00:00:00,7.13896E-09
2016-10-03 00:00:00,7.04909E-09
2016-10-04 00:00:00,6.95923E-09
2016-10-05 00:00:00,6.86936E-09
2016-10-06 00:00:00,6.7795E-09
2016-10-07 00:00:00,6.68963E-09
2016-10-08 00:00:00,6.59976E-09
2016-10-09 00:00:00,6.5099E-09
2016-10-10 00:00:00,6.42003E-09
2016-10-11 00:00:00,6.33017E-09
2016-10-12 00:00:00,6.2403E-09
2016-10-13 00:00:00,6.15044E-09
2016-10-14 00:00:00,6.06057E-09
2016-10-15 00:00:00,5.9707E-09
2016-10-16 00:00:00,5.88084E-09
2016-10-17 00:00:00,5.79097E-09
2016-10-18 00:00:00,5.70111E-09
2016-10-19 00:00:00,5.61124E-09
2016-10-20 00:00:00,5.52138E-09
2016-10-21 00:00:00,5.43151E-09
2016-10-22 00:00:00,5.34165E-09
2016-10-23 00:00:00,5.25178E-09
2016-10-24 00:00:00,5.16191E-09
2016-10-25 00:00:00,5.07205E-09
2016-10-26 00:00:00,4.98218E-09
2016-10-27 00:00:00,4.89232E-09
2016-10-28 00:00:00,4.80245E-09
2016-10-29 00:00:00,4.71259E-09
2016-10-30 00:00:00,4.62272E-09
2016-10-31 00:00:00,4.53285E-09
2016-11-01 00:00:00,4.44299E-09
2016-11-02 00:00:00,4.35312E-09
2016-11-03 00:00:00,4.26326E-09
2016-11-04 00:00:00,4.17339E-09
2016-11-05 00:00:00,4.08353E-09
2016-11-06 00:00:00,3.99366E-09
2016-11-07 00:00:00,3.9038E-09
2016-11-08 00:00:00,3.81393E-09
2016-11-09 00:00:00,3.72406E-09
2016-11-10 00:00:00,3.6342E-09
2016-11-11 00:00:00,3.54433E-09
2016-11-12 00:00:00,3.45447E-09
2016-11-13 00:00:00,3.3646E-09
2016-11-14 00:00:00,3.27474E-09
2016-11-15 00:00:00,3.18487E-09
2016-11-16 00:00:00,3.095E-09
2016-11-17 00:00:00,3.00514E-09
2016-11-18 00:00:00,2.91527E-09
2016-11-19 00:00:00,2.82541E-09
2016-11-20 00:00:00,2.73554E-09
2016-11-21 00:00:00,2.64568E-09
2016-11-22 00:00:00,2.55581E-09
2016-11-23 00:00:00,2.46595E-09
2016-11-24 00:00:00,2.37608E-09
2016-11-25 00:00:00,2.28621E-09
2016-11-26 00:00:00,2.19635E-09
2016-11-27 00:00:00,2.10648E-09
2016-11-28 00:00:00,2.01662E-09
2016-11-29 00:00:00,1.92675E-09
2016-11-30 00:00:00,1.83689E-09
2016-12-01 00:00:00,1.78323E-09
2016-12-02 00:00:00,1.72958E-09
2016-12-03 00:00:00,1.67592E-09
2016-12-04 00:00:00,1.62227E-09
2016-12-05 00:00:00,1.56861E-09
2016-12-06 00:00:00,1.51496E-09
2016-12-07 00:00:00,1.46131E-09
2016-12-08 00:00:00,1.40765E-09
2016-12-09 00:00:00,1.354E-09
2016-12-10 00:00:00,1.30034E-09
2016-12-11 00:00:00,1.24669E-09
2016-12-12 00:00:00,1.19303E-09
2016-12-13 00:00:00,1.13938E-09
2016-12-14 00:00:00,1.08573E-09
2016-12-15 00:00:00,1.03207E-09
2016-12-16 00:00:00,9.78418E-10
2016-12-17 00:00:00,9.24763E-10
2016-12-18 00:00:00,8.71109E-10
2016-12-19 00:00:00,8.17455E-10
2016-12-20 00:00:00,7.638E-10
2016-12-21 00:00:00,7.10146E-10
2016-12-22 00:00:00,6.56492E-10
2016-12-23 00:00:00,6.02838E-10
2016-12-24 00:00:00,5.49183E-10
2016-12-25 00:00:00,4.95529E-10
2016-12-26 00:00:00,4.41875E-10
2016-12-27 00:00:00,3.88221E-10
2016-12-28 00:00:00,3.34566E-10
2016-12-29 00:00:00,2.80912E-10
2016-12-30 00:00:00,2.27258E-10
2016-12-31 00:00:00,1.73603E-10
,
,
,
